Name,Taxon_ID,Accession_Number,Length
Methylomonas sp. Kb3,1611544,PKD37854.1,634
Aeromonas hydrophila,644,PKD22328.1,641
Achromobacter,222,WP_100855114.1,648
Achromobacter,222,WP_100855111.1,656
Vibrio sp. HA2012,1971595,WP_100799952.1,637
Achromobacter spanius,217203,AUA57195.1,648
Achromobacter spanius,217203,AUA57192.1,656
Aeromonas veronii,654,WP_100653997.1,641
Aeromonas veronii,654,WP_100646138.1,641
Pseudomonas sp. JJ3,2056231,WP_100632981.1,645
Aeromonas salmonicida subsp. salmonicida,29491,PJZ15429.1,641
Pseudomonas putida,303,PJX06908.1,648
Aeromonas veronii,654,ATY81514.1,641
Aeromonas veronii,654,ATY77908.1,641
Achromobacter ruhlandii,72557,WP_100508762.1,657
Achromobacter ruhlandii,72557,WP_100503687.1,655
Achromobacter ruhlandii,72557,WP_100503685.1,657
Vibrio vulnificus,672,PJO12722.1,637
Achromobacter ruhlandii,72557,PJM88962.1,655
Achromobacter ruhlandii,72557,PJM88958.1,657
Pseudomonas sp. MR 02,2048282,WP_100414152.1,648
Achromobacter ruhlandii,72557,PJM68432.1,657
Achromobacter ruhlandii,72557,PJM68428.1,655
Pseudomonas sp. MR 02,2048282,PJI70540.1,648
Citrobacter freundii,546,ATX91963.1,644
Alcaligenes faecalis,511,WP_100214934.1,624
Citrobacter freundii,546,WP_100194777.1,644
Sulfurimonas sp. CG10_big_fil_rev_8_21_14_0_10_36_24,1975549,PJE72296.1,641
Citrobacter freundii,546,ATX04437.1,644
Vibrio sp. HA2012,1971595,PJC86940.1,637
Sulfurimonas sp. CG_4_8_14_3_um_filter_36_16,1975541,PJC78729.1,641
Sulfurimonas sp. CG_4_9_14_0_2_um_filter_36_407,1975542,PJC26113.1,641
Sulfurimonas sp. CG_4_9_14_0_8_um_filter_36_384,1975543,PJB85474.1,641
Zetaproteobacteria bacterium CG_4_9_14_3_um_filter_49_83,1974118,PJA35459.1,641
Sulfurimonas sp. CG_4_10_14_0_2_um_filter_36_1607,1975539,PIZ61263.1,641
Zetaproteobacteria bacterium CG_4_10_14_0_8_um_filter_49_80,1974111,PIY55567.1,641
Sulfurimonas sp. CG_4_10_14_3_um_filter_36_910,1975540,PIX64490.1,641
Sulfurimonas sp. CG12_big_fil_rev_8_21_14_0_65_36_1453,1975550,PIW51787.1,641
Sulfurimonas sp. CG15_BIG_FIL_POST_REV_8_21_14_020_36_339,1975551,PIW24245.1,641
Sulfurimonas sp. CG01_land_8_20_14_3_00_36_23,1975544,PIV59494.1,641
Sulfurimonas sp. CG02_land_8_20_14_3_00_36_67,1975545,PIV33906.1,641
Zetaproteobacteria bacterium CG02_land_8_20_14_3_00_50_9,1974121,PIV29504.1,641
Sulfurimonas sp. CG03_land_8_20_14_0_80_36_25,1975546,PIV04553.1,641
Sulfurimonas sp. CG07_land_8_20_14_0_80_36_56,1975547,PIU35946.1,641
Aeromonas salmonicida,645,WP_099992697.1,641
Sulfurimonas sp. CG08_land_8_20_14_0_20_36_33,1975548,PIS24771.1,641
Pseudomonas aeruginosa,287,CRR30884.1,650
Pseudomonas aeruginosa,287,CRR02830.1,650
Pseudomonas aeruginosa,287,CRP84175.1,650
Pseudomonas aeruginosa,287,CRQ08367.1,650
Pseudomonas aeruginosa,287,CRW96612.1,650
Pseudomonas aeruginosa,287,CRR72170.1,650
Pseudomonas aeruginosa,287,CRR58709.1,650
Pseudomonas aeruginosa,287,CRP05300.1,650
Pseudomonas aeruginosa,287,CRP68202.1,650
Pseudomonas aeruginosa,287,CRO07870.1,650
Pseudomonas aeruginosa,287,CRW86242.1,650
Pseudomonas aeruginosa,287,CRN43698.1,650
Pseudomonas aeruginosa,287,CRO91048.1,650
Pseudomonas aeruginosa,287,CRR55425.1,650
Pseudomonas aeruginosa,287,CRX00732.1,650
Pseudomonas aeruginosa,287,CRP04701.1,650
Pseudomonas aeruginosa,287,CRS01237.1,650
Pseudomonas aeruginosa,287,CRQ62429.1,650
Pseudomonas aeruginosa,287,CRQ41185.1,650
Pseudomonas aeruginosa,287,CRQ82676.1,650
Pseudomonas aeruginosa,287,CRQ06684.1,650
Pseudomonas aeruginosa,287,CRR43103.1,650
Pseudomonas aeruginosa,287,CRP50253.1,650
Pseudomonas aeruginosa,287,CRN76446.1,650
Pseudomonas aeruginosa,287,CRX32677.1,650
Pseudomonas aeruginosa,287,CRO94787.1,650
Pseudomonas aeruginosa,287,CRS58389.1,650
Pseudomonas aeruginosa,287,CRO72655.1,650
Pseudomonas aeruginosa,287,CRO96911.1,650
Pseudomonas aeruginosa,287,CRN63655.1,650
Pseudomonas aeruginosa,287,CRX17836.1,650
Pseudomonas aeruginosa,287,CRO67088.1,650
Pseudomonas aeruginosa,287,CRR91936.1,650
Pseudomonas aeruginosa,287,CRP27481.1,650
Pseudomonas aeruginosa,287,CRO21357.1,650
Pseudomonas aeruginosa,287,CRX04012.1,650
Pseudomonas aeruginosa,287,CRR50616.1,650
Pseudomonas aeruginosa,287,CRN93460.1,650
Pseudomonas aeruginosa,287,CRQ34744.1,650
Pseudomonas aeruginosa,287,CRN69072.1,650
Pseudomonas aeruginosa,287,CRP39295.1,650
Pseudomonas aeruginosa,287,CRR10719.1,650
Pseudomonas aeruginosa,287,CRN21534.1,650
Pseudomonas aeruginosa,287,CRQ55494.1,650
Pseudomonas aeruginosa,287,CRW95610.1,650
Pseudomonas aeruginosa,287,CRR63446.1,650
Pseudomonas aeruginosa,287,CRS16150.1,650
Pseudomonas aeruginosa,287,CRN73022.1,650
Pseudomonas aeruginosa,287,CRN84993.1,650
Pseudomonas aeruginosa,287,CRP45399.1,650
Methylophaga muralis,291169,WP_069296118.1,445
Methylophaga muralis,291169,ODN66605.1,445
Candidatus Thiodiazotropha endoloripes,1818881,ODB95213.1,442
Paramesorhizobium deserti,1494590,WP_068884866.1,512
Hydrogenophaga taeniospiralis,65656,WP_068172061.1,471
Rhodoplanes sp. Z2-YC6860,674703,WP_068017684.1,485
Enterovibrio coralii,294935,WP_067413671.1,453
Methylobacillus sp. MM3,1848039,WP_067107696.1,459
Bradyrhizobium sp. BR 10303,1755647,WP_066512215.1,454
Bradyrhizobium yuanmingense,108015,SCB48556.1,450
Bradyrhizobium paxllaeri,190148,WP_065749943.1,450
Bradyrhizobium icense,1274631,WP_065728333.1,449
Bradyrhizobium paxllaeri,190148,OCK67378.1,450
Bradyrhizobium icense,1274631,ANW01064.1,449
Bradyrhizobium sp.,376,WP_063995435.1,452
Methylobacillus sp. MM3,1848039,OAJ70854.1,459
Methylorubrum populi,223967,OAH30925.1,492
Bradyrhizobium sp.,376,CUT14326.1,452
Bradyrhizobium sp. BR 10245,1497613,WP_063698571.1,454
Bradyrhizobium neotropicale,1497615,WP_063677500.1,454
Bradyrhizobium neotropicale,1497615,OAF18529.1,454
Bradyrhizobium sp. BR 10245,1497613,OAF12980.1,454
Methylorubrum populi,223967,BAU93540.1,509
Rhodoplanes sp. Z2-YC6860,674703,AMN40623.1,485
Enterovibrio coralii,294935,KXF82335.1,453
Paramesorhizobium deserti,1494590,KXF75086.1,512
Methylobacterium sp. AMS5,925818,WP_060771715.1,495
Methylobacterium sp. AMS5,925818,AMB47771.1,509
Bradyrhizobium sp. BR 10303,1755647,KWV49919.1,454
Alphaproteobacteria bacterium BRH_c36,1734406,KUO62915.1,462
Bradyrhizobium valentinum,1518501,WP_057902023.1,449
Bradyrhizobium valentinum,1518501,WP_057851171.1,449
Bradyrhizobium jicamae,280332,WP_057836973.1,451
Bradyrhizobium valentinum,1518501,KRR06978.1,449
Bradyrhizobium jicamae,280332,KRR05987.1,451
Bradyrhizobium valentinum,1518501,KRQ99067.1,449
Rhizobacter,212743,WP_056806889.1,456
Pseudorhodoferax sp. Leaf265,1736315,WP_056659378.1,457
Methylobacteriaceae,119045,WP_056505278.1,495
Methylobacterium sp. Leaf117,1736260,WP_056486503.1,494
Methylobacterium sp. Leaf104,1736254,WP_056475995.1,497
Methylobacterium sp. Leaf90,1736246,WP_056461158.1,495
Methylobacterium,407,WP_056426030.1,488
Methylobacterium,407,WP_056350439.1,494
Methylobacterium sp. Leaf88,1736244,WP_056269769.1,494
Methylobacterium,407,WP_056217060.1,494
Methylobacterium sp. Leaf123,1736264,WP_056197550.1,494
Methylobacterium sp. Leaf113,1736259,WP_056188590.1,494
Methylobacterium sp. Leaf92,1736248,WP_056155079.1,495
Methylobacterium sp. Leaf122,1736263,WP_056117399.1,495
Vibrio sp. 2017V-1124,2204197,RBM46635.1,636
Vibrio sp. 07-2425,2204198,RBM44194.1,636
Vibrio sp. 2017V-1070,2204195,RBM41440.1,636
Vibrio sp. 2017V-1038,2204194,RBM39285.1,636
Vibrio sp. 2523-88,2204190,RBM35114.1,636
Vibrio sp. 2016V-1062,2204193,RBM31558.1,636
Vibrio sp. 2015V-1076,2204191,RBM25861.1,636
Pseudomonas sp. MWU12-2534b,2071715,RBJ77560.1,648
Halomonas sulfidaeris,115553,RBI65329.1,634
Pseudomonas sp. MWU14-2217,2071626,RBB65735.1,637
Pseudomonas thivervalensis,86265,AXA56310.1,648
Pseudomonas aeruginosa,287,AXA05435.1,650
Pseudomonas aeruginosa,287,AWZ91624.1,650
Pseudomonas aeruginosa,287,AWZ86954.1,650
Pseudomonas putida,303,AWY43459.1,646
Marinomonas primoryensis,178399,AWY01292.1,649
Ferriphaselus amnicola,1188319,BBE51011.1,648
Pseudomonas sp. 43mfcvi1.1,1761894,SSC00117.1,648
Pseudomonas aeruginosa,287,SPY82878.1,650
Pseudomonas aeruginosa,287,SPZ04335.1,650
Pseudomonas aeruginosa,287,SQC76497.1,650
Pseudomonas aeruginosa,287,SPZ17721.1,650
Pseudomonas aeruginosa,287,SPZ13574.1,650
Pseudomonas aeruginosa,287,SPY71394.1,650
Pseudomonas aeruginosa,287,SPZ10340.1,650
Pseudomonas aeruginosa,287,SPY50128.1,650
Pseudomonas aeruginosa,287,SPY57818.1,650
Pseudomonas aeruginosa,287,SQC53499.1,650
Pseudomonas aeruginosa,287,SQC77764.1,650
Vibrio harveyi,669,SQA38288.1,637
Pseudomonas sp. RIT 412,2202161,RAU48404.1,648
Pseudomonas sp. RIT 409,2202159,RAU41348.1,648
Vibrio alginolyticus,663,SQA41930.1,637
Legionella feeleii,453,SPX60836.1,639
Nitrincola sp. xg18,2219697,RAU18412.1,642
Pseudomonas citronellolis,53408,GBL54638.1,650
Pseudomonas citronellolis,53408,GBL55190.1,650
Vibrio diazotrophicus,685,RAS69629.1,636
Nitrosospira multiformis,1231,RAR89333.1,706
Nitrosospira multiformis,1231,RAR83489.1,707
Nitrosospira multiformis,1231,RAR81080.1,706
Pseudomonas sp. MDMC224,2218663,RAR32282.1,648
Pseudomonas sp. MDMC216,2218662,RAR28075.1,648
Pseudomonas sp. MDMC17,2218661,RAR27325.1,648
Pseudomonas aeruginosa,287,RAP68563.1,650
Paucimonas lemoignei,29443,WP_111756041.1,648
Shewanella benthica,43661,SQH74008.1,641
Moritella yayanosii,69539,SQD79766.1,671
Moritella yayanosii,69539,SQD76485.1,650
Pseudomonas aeruginosa,287,ARG88185.1,650
Pseudomonas aeruginosa,287,ARG50003.1,650
Pelomonas sp. Root1217,1736430,WP_082568059.1,639
Pseudoalteromonas sp. SW0106-04,1702169,WP_082342213.1,658
Pseudoalteromonas sp. SW0106-04,1702169,WP_082342205.1,650
Proteobacteria bacterium ST_bin11,1978759,OQW78705.1,634
Pseudoalteromonas ruthenica,151081,WP_082079295.1,658
Pseudoalteromonas ruthenica,151081,WP_082079266.1,650
Vibrio sp. S234-5,1616781,WP_082069742.1,639
Marinobacter excellens,218670,WP_082049061.1,638
Aquabacterium sp. NJ1,1538295,WP_081961442.1,670
Nitrincola sp. A-D6,1545442,WP_081960862.1,643
Vibrio navarrensis,29495,WP_081947051.1,639
Vibrio navarrensis,29495,WP_081946381.1,639
Andreprevotia lacus DSM 23236,1121001,SMC29734.1,641
Plesiomonas shigelloides,703,WP_081632876.1,676
Pseudoalteromonas ruthenica,151081,WP_081604378.1,650
Pseudomonas sp. Bc-h,1943632,WP_081569362.1,648
Arcobacter cryaerophilus,28198,WP_081560221.1,624
Pseudomonas sp. T,1938440,WP_081520259.1,651
Pseudomonas sp. T,1938440,WP_081517607.1,647
Vibrio parahaemolyticus,670,OQU53475.1,637
Vibrio parahaemolyticus,670,OQU52866.1,637
Vibrio parahaemolyticus,670,OQU41471.1,637
Vibrio parahaemolyticus,670,OQU36240.1,637
Vibrio parahaemolyticus,670,OQU34994.1,637
Vibrio parahaemolyticus,670,OQU29541.1,637
Vibrio parahaemolyticus,670,OQU26704.1,637
Vibrio parahaemolyticus,670,OQU22819.1,637
Vibrio parahaemolyticus,670,OQU15275.1,637
Vibrio parahaemolyticus,670,OQU15113.1,637
Vibrio parahaemolyticus,670,OQU08885.1,637
Vibrio parahaemolyticus,670,OQU06611.1,637
Vibrio parahaemolyticus,670,OQT97048.1,637
Vibrio parahaemolyticus,670,OQT94252.1,637
Vibrio parahaemolyticus,670,OQT90027.1,637
Vibrio parahaemolyticus,670,OQT83276.1,637
Vibrio parahaemolyticus,670,OQT81251.1,637
Vibrio parahaemolyticus,670,OQT76298.1,637
Vibrio parahaemolyticus,670,OQT75981.1,637
Vibrio parahaemolyticus,670,OQT66376.1,637
Vibrio parahaemolyticus,670,OQT56360.1,637
Vibrio parahaemolyticus,670,OQT52118.1,637
Vibrio parahaemolyticus,670,OQT49461.1,637
Vibrio parahaemolyticus,670,OQT47931.1,637
Vibrio parahaemolyticus,670,OQT39141.1,637
Vibrio parahaemolyticus,670,OQT31818.1,637
Vibrio parahaemolyticus,670,OQT29935.1,637
Vibrio parahaemolyticus,670,OQT23823.1,637
Vibrio parahaemolyticus,670,OQT23171.1,637
Vibrio tasmaniensis 1F-267,1191324,OEF48037.1,636
Vibrio cyclitrophicus 1F273,1136161,OEF43573.1,636
Vibrio cyclitrophicus 1F289,1136162,OEF38760.1,636
Vibrio cyclitrophicus 1F53,1136157,OEF35179.1,636
Vibrio cyclitrophicus 1F97,1136158,OEF29569.1,636
Vibrio splendidus 1S-124,1191313,OEF29345.1,636
Vibrio rumoiensis 1S-45,1188252,OEF23304.1,645
Vibrio splendidus 5S-101,617148,OEF21552.1,636
Aliivibrio logei 5S-186,626086,OEF16122.1,641
Vibrio kanaloae 5S-149,1191299,OEF14783.1,636
Vibrio genomosp. F10 str. 9ZD137,1187846,OEF03317.1,636
Vibrio crassostreae 9ZC13,1191301,OEF02512.1,636
Vibrio genomosp. F10 str. 9ZC157,1187847,OEE93713.1,636
Vibrio crassostreae 9ZC77,1191302,OEE92459.1,636
Vibrio crassostreae 9ZC88,1191304,OEE90974.1,636
Enterovibrio norvegicus FF-162,1190605,OEE90491.1,643
Vibrio cyclitrophicus FF160,1136164,OEE80408.1,636
Vibrio genomosp. F6 str. FF-238,1191298,OEE74000.1,636
Vibrio splendidus FF-6,617146,OEE72266.1,636
Enterovibrio norvegicus,188144,OEE69134.1,643
Enterovibrio norvegicus FF-33,1190603,OEE66215.1,643
Enterovibrio norvegicus FF-454,1185651,OEE61516.1,643
Vibrio splendidus FF-500,1191309,OEE54426.1,636
Vibrio ordalii FF-93,617132,OEE50069.1,636
Enterovibrio norvegicus,188144,OEE49535.1,649
Vibrio cyclitrophicus FF75,1136163,OEE46063.1,636
Vibrio ordalii FS-144,617134,OEE43142.1,636
Vibrio ordalii FS-238,617133,OEE41808.1,636
Vibrio genomosp. F10 str. ZF-129,1187848,OEE32182.1,636
Vibrio cyclitrophicus ZF14,1136166,OEE24659.1,636
Vibrio cyclitrophicus ZF170,1136171,OEE22363.1,636
Vibrio cyclitrophicus ZF205,1136172,OEE20208.1,636
Vibrio cyclitrophicus ZF207,1136173,OEE17766.1,636
Vibrio cyclitrophicus ZF264,1136175,OEE08279.1,636
Vibrio cyclitrophicus ZF270,1136176,OEE03509.1,636
Vibrio cyclitrophicus ZF28,1136167,OEE02064.1,636
Vibrio breoganii ZF-29,1188257,OED96595.1,632
Vibrio crassostreae ZF-91,1191303,OED88044.1,636
Vibrio cyclitrophicus ZF30,1136168,OED87571.1,636
Vibrio splendidus ZF-90,617147,OED84432.1,636
Vibrio cyclitrophicus ZF65,1136169,OED77010.1,636
Vibrio cyclitrophicus ZF99,1136170,OED70634.1,636
Vibrio splendidus ZS-139,617140,OED63200.1,636
Vibrio tasmaniensis ZS-17,1191326,OED61810.1,636
Pseudomonas sp. 1D4,1843691,WP_069565121.1,648
Pseudomonas sp. ENNP23,1535636,WP_069560998.1,648
Pseudomonas,286,WP_069560197.1,646
Pseudomonas sp. AP42,1535632,WP_069557441.1,648
Vibrio parahaemolyticus,670,WP_069549201.1,637
Vibrio parahaemolyticus,670,WP_069546359.1,637
Pseudomonas aeruginosa,287,RCI52590.1,650
Pseudomonas aeruginosa,287,RCI48629.1,650
Pseudomonas aeruginosa,287,RCI35792.1,650
Acinetobacter baumannii,470,SSU24010.1,650
Acinetobacter baumannii,470,SST11695.1,650
Acinetobacter baumannii,470,SSV37358.1,650
Pseudomonas aeruginosa,287,RCH62800.1,650
Pseudomonas aeruginosa,287,RCH38878.1,650
Pseudomonas aeruginosa,287,RCH22974.1,650
Pseudomonas aeruginosa,287,RCH04680.1,650
Pseudomonas aeruginosa,287,RCG96539.1,650
Pseudomonas aeruginosa,287,RCG89726.1,650
Vibrio sp. 2017V-1110,2204204,WP_113611130.1,636
Vibrio,662,WP_113604856.1,636
Vibrio sp. 2017V-1085,2204196,WP_113602174.1,636
Pseudomonas aeruginosa,287,RCA28137.1,650
Pseudomonas aeruginosa,287,AXC23085.1,650
Halomonas sulfidaeris,115553,WP_113271127.1,634
Vibrionales bacterium C3R12,2267228,RBW64763.1,636
Psychromonas sp. B3M02,2267226,RBW42478.1,646
Nitrosospira multiformis,1231,WP_113071300.1,707
Nitrosospira multiformis,1231,WP_113067238.1,706
Nitrosospira multiformis,1231,WP_112892237.1,706
Moritella yayanosii,69539,WP_112716642.1,671
Moritella yayanosii,69539,WP_112711616.1,650
Shewanella benthica,43661,WP_112350700.1,641
Pseudomonas,286,WP_112211151.1,648
Piscinibacter caeni,1861917,WP_112187337.1,595
Nitrincola sp. xg18,2219697,WP_112158520.1,642
Marinomonas primoryensis,178399,WP_112139698.1,649
Marinomonas rhizomae,491948,RBP84185.1,649
Shewanella putrefaciens,24,RBP77716.1,639
Marinobacter hydrocarbonoclasticus,2743,RBP76248.1,663
Marinomonas aquiplantarum,491951,RBO82236.1,649
Cellvibrionaceae bacterium AOL6,2022661,WP_111988010.1,649
Catenovulum sp. RQJ05,2234133,WP_111977774.1,649
Aeromonas,642,WP_111873022.1,640
Pseudomonas aeruginosa,287,RBO27590.1,650
Vibrio cholerae,666,RBO17257.1,636
Vibrio campbellii,680,AXB34624.1,637
Vibrio sp. 2017V-1176,2204206,RBM91598.1,636
Vibrio sp. 2017V-1144,2204205,RBM89025.1,636
Vibrio sp. 2016V-1091,2204200,RBM78572.1,636
Vibrio sp. 2016V-1114,2204202,RBM75674.1,636
Vibrio sp. 2016V-1018,2204192,RBM67865.1,636
Vibrio sp. 2017V-1110,2204204,RBM64180.1,636
Vibrio sp. 2017V-1105,2204203,RBM62775.1,636
Vibrio sp. 2014V-1107,2204199,RBM58877.1,636
Vibrio sp. 2017V-1085,2204196,RBM53306.1,636
Vibrio sp. 2016V-1111,2204201,RBM52986.1,636
Pseudomonas aeruginosa,287,OOH18301.1,650
Pseudomonas aeruginosa,287,OOH15150.1,650
Pseudomonas aeruginosa,287,OOH11165.1,650
Pseudomonas sp. A25(2017),1945865,OOG85932.1,648
Polaromonas sp. A23,1944133,OOG45057.1,633
Vibrio anguillarum,55601,AQP34658.1,636
Pseudomonas sp. C9,1311337,OOG12592.1,648
Pseudomonas putida,303,WP_077186212.1,648
Pseudomonas putida,303,WP_077184107.1,646
Salinivibrio costicola subsp. alcaliphilus,272773,OOF33051.1,640
Salinivibrio proteolyticus,334715,OOF30850.1,644
Salinivibrio proteolyticus,334715,OOF27598.1,644
Salinivibrio sp. PR932,1909492,OOF14803.1,644
Salinivibrio sp. PR5,1909484,OOF10293.1,644
Salinivibrio sp. MA607,1909457,OOF02918.1,640
Salinivibrio sp. IB643,1909445,OOE99464.1,643
Salinivibrio siamensis,414286,OOE85576.1,644
Salinivibrio sp. PR6,1909485,OOE84322.1,644
Salinivibrio siamensis,414286,OOE83086.1,649
Salinivibrio sp. PR6,1909485,OOE80046.1,644
Salinivibrio sp. ML198,1909458,OOE78395.1,649
Salinivibrio sp. ML198,1909458,OOE77997.1,644
Salinivibrio sp. IB870,1766121,OOE73160.1,644
Salinivibrio sp. IB870,1766121,OOE72443.1,644
Salinivibrio kushneri,1908198,OOE70093.1,644
Salinivibrio sp. IB282,1766122,OOE68548.1,644
Salinivibrio sp. IB868,1909447,OOE68354.1,644
Salinivibrio kushneri,1908198,OOE65407.1,649
Salinivibrio sp. IB868,1909447,OOE64581.1,644
Salinivibrio kushneri,1908198,OOE62827.1,644
Salinivibrio sp. ML323,1909474,OOE59422.1,644
Salinivibrio kushneri,1908198,OOE54284.1,644
Salinivibrio kushneri,1908198,OOE52375.1,649
Salinivibrio kushneri,1908198,OOE52078.1,649
Salinivibrio kushneri,1908198,OOE51486.1,649
Salinivibrio kushneri,1908198,OOE49432.1,644
Salinivibrio kushneri,1908198,OOE48882.1,644
Salinivibrio kushneri,1908198,OOE46816.1,650
Salinivibrio kushneri,1908198,OOE45662.1,644
Salinivibrio kushneri,1908198,OOE43368.1,650
Salinivibrio kushneri,1908198,OOE43198.1,644
Salinivibrio kushneri,1908198,OOE40605.1,644
Salinivibrio kushneri,1908198,OOE38500.1,649
Salinivibrio kushneri,1908198,OOE37692.1,649
Salinivibrio kushneri,1908198,OOE35435.1,644
Salinivibrio kushneri,1908198,OOE34373.1,649
Pseudoalteromonas aliena,247523,AQQ01619.1,668
Vibrio anguillarum,55601,AQP37601.1,636
Vibrio parahaemolyticus,670,OOE29001.1,637
